policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 913: Reward 200
Episode 914: Reward 97
Episode 915: Reward 200
Episode 916: Reward 200
Episode 917: Reward 200
Episode 918: Reward 200
Episode 919: Reward 139
Episode 920: Reward 200
Episode 921: Reward 200
Episode 922: Reward 200
Episode 923: Reward 200
Episode 924: Reward 96
Episode 925: Reward 200
Episode 926: Reward 200
Episode 927: Reward 200
Episode 928: Reward 200
Episode 929: Reward 200
Episode 930: Reward 200
Episode 931: Reward 200
Episode 932: Reward 200
Episode 933: Reward 200
Episode 934: Reward 200
Episode 935: Reward 200
Episode 936: Reward 200
Episode 937: Reward 200
Episode 938: Reward 200
Episode 939: Reward 200
Episode 940: Reward 200
Episode 941: Reward 87
Episode 942: Reward 200
Episode 943: Reward 200
Episode 944: Reward 200
Episode 945: Reward 200
Episode 946: Reward 200
Episode 947: Reward 200
Episode 948: Reward 200
Episode 949: Reward 200
Episode 950: Reward 200
Episode 951: Reward 200
Episode 952: Reward 200
Episode 953: Reward 200
Episode 954: Reward 200
Episode 955: Reward 200
Episode 956: Reward 200
Episode 957: Reward 200
Episode 958: Reward 200
Episode 959: Reward 200
Episode 960: Reward 200
Episode 961: Reward 200
Episode 962: Reward 200
Episode 963: Reward 200
Episode 964: Reward 200
Episode 965: Reward 170
Episode 966: Reward 97
Episode 967: Reward 200
Episode 968: Reward 200
Episode 969: Reward 200
Episode 970: Reward 200
Episode 971: Reward 200
Episode 972: Reward 200
Episode 973: Reward 200
Episode 974: Reward 200
Episode 975: Reward 200
Episode 976: Reward 200
Episode 977: Reward 200
Episode 978: Reward 200
Episode 979: Reward 200
Episode 980: Reward 200
Episode 981: Reward 200
Episode 982: Reward 200
Episode 983: Reward 200
Episode 984: Reward 200
Episode 985: Reward 200
Episode 986: Reward 200
Episode 987: Reward 200
Episode 988: Reward 200
Episode 989: Reward 200
Episode 990: Reward 200
Episode 991: Reward 200
Episode 992: Reward 200
Episode 993: Reward 200
Episode 994: Reward 200
Episode 995: Reward 200
Episode 996: Reward 200
Episode 997: Reward 200
Episode 998: Reward 200
Episode 999: Reward 200
Episode 1000: Reward 200
Episode 1001: Reward 200
Episode 1002: Reward 200
Episode 1003: Reward 200
Episode 1004: Reward 200
Episode 1005: Reward 200
Episode 1006: Reward 200
Episode 1007: Reward 200
Episode 1008: Reward 200
Episode 1009: Reward 200
Episode 1010: Reward 200
Episode 1011: Reward 200
Episode 1012: Reward 200
Episode 1013: Reward 200
Episode 1014: Reward 200
Episode 1015: Reward 200
Episode 1016: Reward 200
Episode 1017: Reward 200
Episode 1018: Reward 200
Episode 1019: Reward 200
Episode 1020: Reward 200
Episode 1021: Reward 200
Episode 1022: Reward 200
Episode 1023: Reward 200
Episode 1024: Reward 200
Episode 1025: Reward 155
Episode 1026: Reward 200
Episode 1027: Reward 200
Episode 1028: Reward 200
Episode 1029: Reward 200
Episode 1030: Reward 200
Episode 1031: Reward 200
Episode 1032: Reward 200
Episode 1033: Reward 200
Episode 1034: Reward 200
Episode 1035: Reward 200
Episode 1036: Reward 200
Episode 1037: Reward 200
Episode 1038: Reward 200
Episode 1039: Reward 200
Episode 1040: Reward 200
Episode 1041: Reward 200
Episode 1042: Reward 200
Episode 1043: Reward 200
Episode 1044: Reward 200
Episode 1045: Reward 200
Episode 1046: Reward 200
Episode 1047: Reward 200
Episode 1048: Reward 200
Episode 1049: Reward 200
Episode 1050: Reward 200
Episode 1051: Reward 200
Episode 1052: Reward 200
Episode 1053: Reward 200
Episode 1054: Reward 200
Episode 1055: Reward 200
Episode 1056: Reward 200
Episode 1057: Reward 200
Episode 1058: Reward 200
Episode 1059: Reward 200
Episode 1060: Reward 200
Episode 1061: Reward 200
Episode 1062: Reward 200
Episode 1063: Reward 200
Episode 1064: Reward 200
Episode 1065: Reward 200
Episode 1066: Reward 200
Episode 1067: Reward 200
Episode 1068: Reward 200
Episode 1069: Reward 200
Episode 1070: Reward 200
Episode 1071: Reward 200
Episode 1072: Reward 200
Episode 1073: Reward 200
Episode 1074: Reward 200
Episode 1075: Reward 200
